algorithm,date,iteration,seed,size
RLS12,20210114095020_571,19951,16106142205384150,2000
RLS12,20210114095020_595,28056,16106142205502750,2000
RLS12,20210114095020_747,12357,16106142207284260,1000
RLS12,20210114095020_846,27159,16106142208001840,2000
RLS12,20210114095020_864,12433,16106142208464350,1000
RLS12,20210114095020_952,12720,16106142209337590,1000
RLS12,20210114095020_97,12582,16106142209524310,1000
RLS12,20210114095021_06,11759,16106142210427510,1000
RLS12,20210114095021_164,27935,16106142210806050,2000
RLS12,20210114095021_202,12251,16106142211851398,1000
RLS12,20210114095021_24,23713,16106142212026150,2000
RLS12,20210114095021_337,30572,16106142212405642,2000
RLS12,20210114095021_34,9322,16106142212763320,1000
RLS12,20210114095021_441,28059,16106142213998280,2000
RLS12,20210125174400_271,702,16115930402570360,12
RLS12,20210125174400_309,55,16115930403077840,12
RLS12,20210125174400_311,104,16115930403093210,12
RLS12,20210125175049_515,676,16115934494936090,12
RLS12,20210125175049_545,2639,16115934494147940,12
RLS12,20210125175049_672,520,16115934496515260,12
RLS12,20210125175049_751,1088,16115934497078330,12
RLS12,20210125175049_8,987,16115934497570260,12
RLS12,20210125175049_814,431,16115934497962648,12
