R,algorithm,date,iteration,seed,size
121550625,RLSSDstarstar,20210113091717_94,32020,16105258306807448,15
1303210000,RLSSDstarstar,20210113091729_958,57170,16105258274191480,20
121550625,RLSSDstarstar,20210113091733_206,23349,16105258478389310,15
4100625,RLSSDstarstar,20210113091733_62,3428,16105258532071682,10
121550625,RLSSDstarstar,20210113091748_97,32120,16105258615821000,15
1303210000,RLSSDstarstar,20210113091954_03,49100,16105259744437770,20
1303210000,RLSSDstarstar,20210113091956_26,73007,16105259671140720,20
121550625,RLSSDstarstar,20210113092148_475,34613,16105261027737720,15
1303210000,RLSSDstarstar,20210113092301_968,86234,16105261583024730,20
1303210000,RLSSDstarstar,20210113092326_625,88729,16105261819695900,20
4100625,RLSSDstarstar,20210113092327_801,5079,16105262074381020,10
121550625,RLSSDstarstar,20210113092342_234,28218,16105262196010612,15
121550625,RLSSDstarstar,20210113092419_029,10854,16105262581220800,15
4100625,RLSSDstarstar,20210113092451_641,6551,16105262913740110,10
4100625,RLSSDstarstar,20210113092451_863,5150,16105262916420110,10
1303210000,RLSSDstarstar,20210113092523_22,60434,16105263177409900,20
100000000,RLSSDstarstar,20210114094440_069,476,16106138800197230,100
100000000,RLSSDstarstar,20210114094440_084,367,16106138800835112,100
100000000,RLSSDstarstar,20210114094440_086,489,16106138800859360,100
100000000,RLSSDstarstar,20210114094440_087,295,16106138800869480,100
100000000,RLSSDstarstar,20210114094440_087,360,16106138800873088,100
100000000,RLSSDstarstar,20210114094440_088,283,16106138800883018,100
100000000,RLSSDstarstar,20210114094440_089,319,16106138800889420,100
100000000,RLSSDstarstar,20210114094440_09,779,16106138800896260,100
100000000,RLSSDstarstar,20210114094440_093,479,16106138800925400,100
100000000,RLSSDstarstar,20210114094440_094,731,16106138800929220,100
100000000,RLSSDstarstar,20210114094440_095,553,16106138800943070,100
100000000,RLSSDstarstar,20210114094440_099,843,16106138800986878,100
100000000,RLSSDstarstar,20210114094440_1,384,16106138800994160,100
100000000,RLSSDstarstar,20210114094440_1,434,16106138801002510,100
100000000,RLSSDstarstar,20210114094440_102,418,16106138801014820,100
100000000,RLSSDstarstar,20210114094440_102,450,16106138801022680,100
100000000,RLSSDstarstar,20210114094440_104,384,16106138801033412,100
100000000,RLSSDstarstar,20210114094440_105,403,16106138801044330,100
100000000,RLSSDstarstar,20210114094440_107,259,16106138801069340,100
100000000,RLSSDstarstar,20210114094440_109,504,16106138801089750,100
100000000,RLSSDstarstar,20210114094440_127,357,16106138801098800,100
100000000,RLSSDstarstar,20210114094440_131,537,16106138801303598,100
100000000,RLSSDstarstar,20210114094440_134,570,16106138801333808,100
100000000,RLSSDstarstar,20210114094440_137,286,16106138801365572,100
100000000,RLSSDstarstar,20210114094440_137,347,16106138801367518,100
100000000,RLSSDstarstar,20210114094440_139,381,16106138801390900,100
100000000,RLSSDstarstar,20210114094440_14,222,16106138801398210,100
100000000,RLSSDstarstar,20210114094440_142,557,16106138801412850,100
100000000,RLSSDstarstar,20210114094440_142,526,16106138801417192,100
100000000,RLSSDstarstar,20210114094440_142,458,16106138801419490,100
100000000,RLSSDstarstar,20210114094440_148,462,16106138801474150,100
100000000,RLSSDstarstar,20210114094440_153,404,16106138801529170,100
100000000,RLSSDstarstar,20210114094440_165,461,16106138801532050,100
100000000,RLSSDstarstar,20210114094440_168,815,16106138801676468,100
100000000,RLSSDstarstar,20210114094440_169,381,16106138801683660,100
100000000,RLSSDstarstar,20210114094440_169,481,16106138801685210,100
100000000,RLSSDstarstar,20210114094440_169,291,16106138801694710,100
100000000,RLSSDstarstar,20210114094440_171,763,16106138801705780,100
100000000,RLSSDstarstar,20210114094440_175,455,16106138801750770,100
100000000,RLSSDstarstar,20210114094440_176,411,16106138801757578,100
100000000,RLSSDstarstar,20210114094440_179,248,16106138801786650,100
100000000,RLSSDstarstar,20210114094440_179,393,16106138801793280,100
100000000,RLSSDstarstar,20210114094440_18,390,16106138801796220,100
100000000,RLSSDstarstar,20210114094440_18,808,16106138801790750,100
100000000,RLSSDstarstar,20210114094440_18,434,16106138801800880,100
100000000,RLSSDstarstar,20210114094440_181,462,16106138801804940,100
100000000,RLSSDstarstar,20210114094440_182,710,16106138801818730,100
100000000,RLSSDstarstar,20210114094440_186,545,16106138801852478,100
100000000,RLSSDstarstar,20210114094440_188,341,16106138801876950,100
100000000,RLSSDstarstar,20210114094440_189,324,16106138801888070,100
100000000,RLSSDstarstar,20210114094440_19,239,16106138801899058,100
100000000,RLSSDstarstar,20210114094440_2,322,16106138801998880,100
100000000,RLSSDstarstar,20210114094440_2,442,16106138801997990,100
100000000,RLSSDstarstar,20210114094440_201,532,16106138802008360,100
100000000,RLSSDstarstar,20210114094440_202,365,16106138802017500,100
100000000,RLSSDstarstar,20210114094440_203,505,16106138802024660,100
100000000,RLSSDstarstar,20210114094440_203,315,16106138802032740,100
100000000,RLSSDstarstar,20210114094440_205,313,16106138802053540,100
100000000,RLSSDstarstar,20210114094440_206,462,16106138802053620,100
100000000,RLSSDstarstar,20210114094440_206,698,16106138802056090,100
100000000,RLSSDstarstar,20210114094440_206,388,16106138802061520,100
100000000,RLSSDstarstar,20210114094440_207,599,16106138802068490,100
100000000,RLSSDstarstar,20210114094440_208,466,16106138802074600,100
100000000,RLSSDstarstar,20210114094440_21,574,16106138802094480,100
100000000,RLSSDstarstar,20210114094440_21,404,16106138802097850,100
100000000,RLSSDstarstar,20210114094440_21,411,16106138802102410,100
100000000,RLSSDstarstar,20210114094440_213,519,16106138802129210,100
100000000,RLSSDstarstar,20210114094440_215,637,16106138802142660,100
100000000,RLSSDstarstar,20210114094440_215,396,16106138802154160,100
100000000,RLSSDstarstar,20210114094440_216,376,16106138802160512,100
100000000,RLSSDstarstar,20210114094440_218,551,16106138802168350,100
100000000,RLSSDstarstar,20210114094440_219,511,16106138802185490,100
100000000,RLSSDstarstar,20210114094440_221,260,16106138802206690,100
100000000,RLSSDstarstar,20210114094440_223,456,16106138802219328,100
100000000,RLSSDstarstar,20210114094440_224,540,16106138802229820,100
100000000,RLSSDstarstar,20210114094440_224,548,16106138802235510,100
100000000,RLSSDstarstar,20210114094440_225,519,16106138802243490,100
