R,algorithm,date,iteration,seed,size,λ
10,ea1pλSASD,20201204144336_105,286,16070894160771400,100,10
10,ea1pλSASD,20201204144336_11,252,16070894160781880,100,10
10,ea1pλSASD,20201204144336_118,297,16070894160820680,100,10
10,ea1pλSASD,20201204144336_121,299,16070894160860880,100,10
10,ea1pλSASD,20201204144336_135,122,16070894161062700,100,10
10,ea1pλSASD,20201204144336_142,170,16070894161187120,100,10
10,ea1pλSASD,20201204144336_142,245,16070894161109560,100,10
10,ea1pλSASD,20201204144336_146,243,16070894161224220,100,10
10,ea1pλSASD,20201204144336_167,266,16070894161430430,100,10
10,ea1pλSASD,20201204144336_167,213,16070894161468110,100,10
10,ea1pλSASD,20201204144336_174,446,16070894161360050,100,10
10,ea1pλSASD,20201204144336_177,433,16070894161429210,100,10
10,ea1pλSASD,20201204144336_184,171,16070894161677000,100,10
10,ea1pλSASD,20201204144336_194,157,16070894161778640,100,10
10,ea1pλSASD,20201204144336_194,370,16070894161681020,100,10
10,ea1pλSASD,20201204144336_198,143,16070894161848850,100,10
10,ea1pλSASD,20201204144336_217,367,16070894161754720,100,10
10,ea1pλSASD,20201204144336_224,306,16070894161944410,100,10
10,ea1pλSASD,20201204144336_239,125,16070894162301568,100,10
10,ea1pλSASD,20201204144336_24,128,16070894162301610,100,10
10,ea1pλSASD,20201204144336_24,113,16070894162287870,100,10
10,ea1pλSASD,20201204144336_254,292,16070894162302560,100,10
10,ea1pλSASD,20201204144336_262,229,16070894162409420,100,10
10,ea1pλSASD,20201204144336_271,374,16070894162404612,100,10
10,ea1pλSASD,20201204144336_273,330,16070894162412500,100,10
10,ea1pλSASD,20201204144336_282,345,16070894162550330,100,10
10,ea1pλSASD,20201204144336_284,111,16070894162747180,100,10
10,ea1pλSASD,20201204144336_286,188,16070894162719850,100,10
10,ea1pλSASD,20201204144336_287,283,16070894162632030,100,10
10,ea1pλSASD,20201204144336_297,144,16070894162874570,100,10
10,ea1pλSASD,20201204144336_301,259,16070894162828810,100,10
10,ea1pλSASD,20201204144336_308,293,16070894162876520,100,10
10,ea1pλSASD,20201204144336_31,349,16070894162851080,100,10
10,ea1pλSASD,20201204144336_318,284,16070894162979110,100,10
10,ea1pλSASD,20201204144336_325,200,16070894163112020,100,10
10,ea1pλSASD,20201204144336_326,271,16070894163085042,100,10
10,ea1pλSASD,20201204144336_334,226,16070894163195180,100,10
10,ea1pλSASD,20201204144336_337,114,16070894163268850,100,10
10,ea1pλSASD,20201204144336_345,289,16070894163256208,100,10
10,ea1pλSASD,20201204144336_349,365,16070894163254890,100,10
10,ea1pλSASD,20201204144336_358,303,16070894163378590,100,10
10,ea1pλSASD,20201204144336_358,338,16070894163351120,100,10
10,ea1pλSASD,20201204144336_363,196,16070894163498700,100,10
10,ea1pλSASD,20201204144336_365,278,16070894163458670,100,10
10,ea1pλSASD,20201204144336_366,99,16070894163589700,100,10
10,ea1pλSASD,20201204144336_375,124,16070894163661398,100,10
10,ea1pλSASD,20201204144336_377,238,16070894163591960,100,10
10,ea1pλSASD,20201204144336_38,251,16070894163638180,100,10
10,ea1pλSASD,20201204144336_386,291,16070894163675310,100,10
10,ea1pλSASD,20201204144336_393,231,16070894163757760,100,10
10,ea1pλSASD,20201204144336_401,361,16070894163811870,100,10
10,ea1pλSASD,20201204144336_402,222,16070894163870480,100,10
10,ea1pλSASD,20201204144336_44,149,16070894163934040,100,10
10,ea1pλSASD,20201204144336_443,426,16070894163779450,100,10
10,ea1pλSASD,20201204144336_455,222,16070894164414010,100,10
10,ea1pλSASD,20201204144336_458,274,16070894164402060,100,10
10,ea1pλSASD,20201204144336_46,261,16070894164021380,100,10
10,ea1pλSASD,20201204144336_462,226,16070894164435690,100,10
